YMD,Y,M,D,date,Season,SeasonID,COVID_BKK_WM,COVID_BKK,PM2.5_BKK,PM10-BKK,WS-BKK,RH-BKK,AH-BKK,P_BKK,R_BKK,T-BKK,COVID_SSK_WM,COVID_SSK,PM2.5_SSK,PM10-SSK,WS-SSK,RH-SSK,AH-SSK,P_SSK,R_SSK,T-SSK,COVID_NKT_WM,COVID_NKT,PM2.5_NKT,PM10-NKT,WS-NKT,RH-NKT,AH-NKT,P_NKT,R_NKT,T-NKT,COVID_NBR_WM,COVID_NBR,PM2.5_NBR,PM10-NBR,WS-NBR,RH-NBR,AH-NBR,P_NBR,R_NBR,T-NBR,COVID_PTN_WM,COVID_PTN,PM2.5_PTN,PM10-PTN,WS-PTN,RH-PTN,AH-PTN,P_PTN,R_PTN,T-PTN,COVID_SPK_WM,COVID_SPK,PM2.5_SPK,PM10-SPK,WS-SPK,RH-SPK,AH-SPK,P_SPK,R_SPK,T-SPK
200219,2020,2,19,19/02/2020,SUMMER,2,0,,50.98,82.95,0.87,41.68,12.21,757.1,0,29.34,0,0,59.25,97.71,0.58,50.04,13.96,758.08,0,28.45,0,,66.22,118.43,0.94,58.83,16.01,759.46,0,28,0,,52.71,78.22,0.5,43.13,11.94,762.04,0,28.31,0,,48.92,73.25,0.75,56.13,14.76,1012.29,0,27.38,0,,51.5,85.64,1.99,47.57,13.84,759.25,0,29.21
200222,2020,2,22,22/02/2020,SUMMER,2,0,,51.61,83.61,1.3,36.93,11.02,758.29,0,29.69,0,0,66.71,106.75,1.19,43.17,12.33,759.21,0,28.88,0,,58.71,115.29,1.84,48,13.62,760.67,0,28.76,0,,55.06,83.42,0.9,37.69,10.73,765.46,0,28.82,0,,56.88,82.04,1.31,39.29,11.26,1013.96,0,28.94,0,,54.9,93.35,3.23,43.15,12.65,760.33,0,29.36
200203,2020,2,3,3/2/2020,WINTER,1,0,,52.3,92.58,0.7,69.6,19.78,756,0,28.79,0,0,40.42,56.33,0.82,72.08,19.96,757.04,0,28.32,0,,44.29,73.13,2.19,75.08,19.74,758.17,0,27.38,0,,58.42,86.01,0.3,74.29,19.71,760.17,0,27.54,0,,56.79,84.5,0.67,80.13,20.94,1010.63,0,27.27,0,,54.08,77.24,1.56,75.04,20.54,758.22,0,28.1
200109,2020,1,9,9/1/2020,WINTER,1,0,,52.75,88.1,0.62,57.35,18.08,754.06,0,30.7,0,0,88.21,124.71,0.4,61.5,17.84,755.42,0,29.16,0,,74.38,121.92,0.95,62.75,18.58,756.67,0,29.55,0,,60.26,88.1,0.32,58.62,17.12,757.08,0,29.3,0,,63.42,83.92,0.64,66.96,19.04,1008.46,0,28.8,0,,57.92,86.8,0.88,63.49,19.69,756.36,0,30.39
200108,2020,1,8,8/1/2020,WINTER,1,0,,53.99,87.53,0.55,56.38,17.2,754.58,0,30.1,0,0,61.04,85.75,0.47,59.46,16.91,755.88,0,28.8,0,,54.83,96.38,0.83,64.75,18.31,757.04,0,28.7,0,,51.42,82,0.4,56.19,16.01,757.79,0,28.83,0,,51.38,74.46,0.92,64.63,17.95,1009.21,0,28.38,0,,59.4,88.01,1,63.65,19.13,756.9,0,29.82
200223,2020,2,23,23/02/2020,SUMMER,2,0,,54,85.75,1.03,39.76,11.78,757.65,0,29.55,0,0,56.5,83.67,0.79,45.58,13.47,758.58,0,29.5,0,,53.54,109.38,1.18,56.25,15.12,760,0,27.78,0,,58.69,84.35,0.59,41.69,11.67,765.63,0,28.51,0,,55.96,78.04,1.03,46.96,12.83,1012.74,0,28.08,0,,55.47,88.71,2.41,44.99,13.24,759.75,0,29.43
200118,2020,1,18,18/01/2020,WINTER,1,0,,54.55,98.67,0.59,73.42,21.61,754.85,0,29.43,0,0,44.25,58.33,0.62,76.13,21.4,756.13,0,28.59,0,,52.17,79.42,1.53,79.08,21.83,757.33,0,28.26,0,,61.44,84.28,0.3,78.17,21.68,754.54,0,28.35,0,,59.83,81.58,0.72,82.71,22.63,1009.42,0,28.1,0,,52.75,74.51,1.45,79.96,22.33,757.17,0,28.48
200119,2020,1,19,19/01/2020,WINTER,1,0,,54.76,95.94,0.58,69.68,20.95,755.1,0,29.83,0,0,46.38,61.67,0.67,74.04,21.41,756.38,0,29.1,0,,56.96,79.92,1.42,75.17,21.32,757.54,0,28.75,0,,58.1,80.97,0.29,75.21,21.22,753.58,0,28.66,0,,57.92,73.96,0.64,80.67,22.34,1009.79,0,28.32,0,,54.61,75.97,1.38,76.69,21.91,757.44,0,28.89
200201,2020,2,1,1/2/2020,WINTER,1,0,,55.33,98.56,0.69,51.38,14.26,755.98,0,28.37,0,0,59.83,87.58,0.73,57,15.59,756.92,0,28.09,0,,54.67,97.08,1.26,63.75,16.79,758.21,0,27.4,0,,63.79,90.71,0.46,51.26,13.37,757.71,0,27.23,0,,61.5,93.46,1.14,54.79,14.07,1010.71,0,26.95,0,,66.97,94.5,1.75,58.93,15.92,758.11,0,27.87
200220,2020,2,20,20/02/2020,SUMMER,2,0,,56.1,88.44,0.89,47.28,14.51,756.73,0,30.21,0,0,91.13,141.13,0.85,48.79,13.79,757.79,0,28.69,0,,84.46,136.08,0.98,57.88,16.73,759,0,29.1,0,,62,89.58,0.56,46.69,13.47,762.54,0,29.07,0,,63.92,87.38,1.23,50.38,14.57,1011.83,0,29.11,0,,60.97,91.85,1.88,50.93,15.66,758.92,0,30.23
200202,2020,2,2,2/2/2020,WINTER,1,0,,57.67,101.11,0.6,63.13,18.15,756.73,0,29,0,0,49.13,71.29,0.61,68.83,19.16,757.75,0,28.41,0,,54.21,88.67,1.4,71.79,19.28,758.92,0,27.76,0,,65.77,94.47,0.31,63.8,17.23,757.96,0,27.87,0,,65.82,92.73,0.8,69.23,17.86,1011.73,0,27.04,0,,62.22,83.94,1.27,69.22,19.37,758.86,0,28.51
200120,2020,1,20,20/01/2020,WINTER,1,0,,59.71,103.5,0.57,68.36,20.39,756,0.15,29.68,0,0,52.17,68.42,0.75,76.42,21.61,757.29,0,28.7,0,,54.17,81,1.46,74.21,21.15,758.54,0,28.84,0,,66.5,91.96,0.3,71.88,20.21,754.46,0,28.59,0,,61.63,82.88,0.77,74.13,20.69,1011.17,0,28.46,0,,61.65,84.13,1.24,76.75,21.49,758.36,0,28.52
200224,2020,2,24,24/02/2020,SUMMER,2,0,,63.51,97.55,0.69,39.39,12.04,755.79,0,30.13,0,0,46.92,72.92,0.88,44.17,13.13,756.92,0,29.62,0,,69.58,129.75,0.83,55.38,16.01,758.25,0,29.1,0,,60.56,88.86,0.47,38.67,11.19,763.96,0,29.12,0,,63.21,84,1.22,42.38,12.16,1010.63,0,28.97,0,,68.36,99.4,1.46,49.13,14.63,758.1,0,29.65
200110,2020,1,10,10/1/2020,WINTER,1,0,,83.09,129.25,0.55,60.47,18.78,753.33,0,30.42,0,0,108.67,151.42,0.5,64.46,19.05,754.67,0,29.51,0,,77.42,128.63,1.13,63.46,18.77,755.92,0,29.52,0,,76.92,111.71,0.26,61.56,17.87,755.79,0,29.18,0,,66.75,83.5,0.62,69.92,19.89,1007.5,0,28.81,0,,93.39,126.75,1.16,72.13,21.2,755.71,0,29.41
200802,2020,8,2,2/8/2020,RAINY,3,1,1,6.97,15.38,1.56,66.19,19.56,747.23,0.05,29.51,0,0,5.08,15.54,1.58,70.54,19.9,754.54,2.8,28.65,0,,4.63,10.54,1.05,48.08,13.49,752.29,1.8,28.55,0,,5.38,13.46,0.94,73.08,18.62,0,0,26.81,0,,6,12.08,1,0,0,999.25,0,0,0,,8.76,15.5,3.22,78.47,21.04,745.97,8.27,27.73
200727,2020,7,27,27/07/2020,RAINY,3,1,1,7.38,14.8,0.88,64.15,20.99,750.31,0.1,31.39,0,0,7,16.63,0.8,66.63,21.27,754.58,0,30.94,0,,7.04,15.96,1.26,41.58,13.72,751.25,0,31.55,0,,5.65,15.73,0.39,68.79,20.58,0,0,29.73,0,,13.04,21.83,0.64,0,0,1003.79,0,0,2,2,8.4,15.89,1.84,68.69,21.35,749.43,3.93,30.44
200803,2020,8,3,3/8/2020,RAINY,3,1,1,7.55,15.11,1.15,70.9,20.89,746.79,1.1,29.45,0,0,5,12.5,1.41,73.42,20.97,754.92,1.6,28.88,0,,4.46,12.17,1.13,47.04,13.3,752.08,4.6,28.7,0,,4.88,11.73,0.6,77.57,19.61,0,1.6,26.67,0,,5.46,10.71,0.62,0,0,999.04,0.6,0,0,,9.82,18.32,3.06,77.08,21.11,746.15,9.4,28.12
200719,2020,7,19,19/07/2020,RAINY,3,1,1,7.81,15.25,0.9,65.56,21.94,751.08,0,31.82,0,0,6.25,13.25,1.01,74.42,24.28,754.58,0,31.34,0,,5.75,15.88,1.98,72.71,21.91,753.54,3.2,29.86,0,,7.33,16.65,0.48,82.92,22.53,0,9.8,27.98,0,,11.58,20.29,0.62,0,0,1004.67,0,0,2,2,9.35,17.36,2.09,70.58,22.69,753.54,0.47,31.06
200804,2020,8,4,4/8/2020,RAINY,3,1,1,8.02,18.39,1.08,78.17,22.38,748.17,7.7,28.93,0,0,4.38,11.96,1.18,80.29,22.46,754.88,31.2,28.51,0,,4.92,13.21,2.9,83.75,22.27,750.42,14.2,27.58,0,,5.65,14.16,0.54,77.44,19.52,0,25.6,26.61,0,,9.42,19.92,0.78,0,0,1000.96,35.8,0,0,,10.64,22.43,2.64,80.31,22.39,750.71,16,28.45
200906,2020,9,6,6/9/2020,RAINY,3,1,1,8.17,15.1,0.91,72.17,22.5,751.27,8.1,30.49,0,0,7.21,16.08,0.94,73.71,21.77,754.83,0.2,29.5,0,,8.33,19.46,1.27,73.75,22.04,753.58,0.2,29.72,2,2,6.83,13.67,0.41,72.62,22.87,0,1.4,30.68,0,,8.55,16.27,0.73,0,0,1005.14,2.4,0,3,3,10.14,18.68,1.81,76.14,23.28,753.49,15.53,30.13
200713,2020,7,13,13/07/2020,RAINY,3,1,1,8.28,18.1,0.88,70.97,21.76,750.54,5.63,30.18,0,0,6.92,25.67,1.05,72.75,22.55,754.75,0.6,30.39,0,,5.88,14.96,2.38,71.67,21.19,752.92,0,29.52,0,,7.56,18.25,0.52,66.72,18.18,0,25.4,28.02,0,,9.08,17.33,0.67,0,0,1003.88,15.8,0,1,1,10.53,21.43,1.82,74.6,22.22,753,2.27,29.65
200926,2020,9,26,26/09/2020,RAINY,3,1,1,8.35,19.39,1.35,60.04,19.54,752,0,31.29,0,0,9.38,24.58,0.91,63.21,18.65,754.58,0,29.48,0,,6,17.5,1.72,69.25,21.08,754.46,0,30.05,0,,7.1,16.6,0.65,68.33,21.55,0,0,30.7,0,,8.54,15.42,1.29,0,0,1006.04,0.4,0,2,2,13.65,26.42,1.76,67.74,20.98,754.36,0.13,30.37
200606,2020,6,6,6/6/2020,RAINY,3,1,1,8.61,17.36,0.87,69.61,21.8,751.35,0.05,30.58,0,0,3.5,12.46,1.11,77.83,26.48,754.83,0,32.12,0,,4.6,13.26,2.05,78,22.01,753.75,1,28.66,0,,8.1,23.83,0.56,72.65,19.64,0,2.6,27.88,0,,12.17,25.08,0.79,85.75,24.34,1004.92,17.8,28.77,3,3,9.32,18.44,2.21,73.53,22.31,753.76,0.4,29.99
200509,2020,5,9,9/5/2020,SUMMER,2,1,1,8.78,15.69,1.03,62.68,22.5,751.4,0,33.13,0,0,5.17,9.13,1.01,66.54,23.19,752.83,0,32.57,0,,12.7,25,2.45,69.67,23.43,753.88,0,31.9,0,,6.67,17.92,0.47,61.08,20.27,0,0,31.66,0,,12.59,27.21,0.8,66.54,23.78,1005.13,0,33.04,0,,10.46,17.38,2.31,70.22,23.84,754.07,0,32.08
200907,2020,9,7,7/9/2020,RAINY,3,1,1,8.82,16.95,0.89,72.64,22.17,751.54,1.85,30.1,0,0,9.5,20.38,0.77,72.63,21.71,754.67,2.4,29.72,0,,6.25,15.25,1.61,76.58,22.35,753.96,0.6,29.28,0,,7.85,14.85,0.57,75.32,22.64,0,1.2,29.82,0,,8.42,15.88,1.11,0,0,1005.33,1.6,0,0,,10.83,18.46,1.51,76.25,22.6,753.85,4.67,29.56
201018,2020,10,18,18/10/2020,WINTER,1,1,1,9.14,17.18,0.63,89.86,19.95,751.96,5.4,24.36,0,0,12.75,26.04,0.49,94.21,20.71,755,1948,24.18,0,,5.75,13.88,1.76,93.21,19.88,754.08,4.4,23.65,0,,6.77,13.92,0.55,96.36,20.59,0,30.8,23.68,0,,5.17,10.13,1.28,0,0,1005.5,12.2,0,2,2,12.33,23.78,1.14,93.4,20.04,753.69,2.93,23.75
200801,2020,8,1,1/8/2020,RAINY,3,1,1,9.27,19.52,1.76,60.94,19.32,748.02,0.05,30.81,0,0,9.71,29.29,1.88,61.5,20,754.54,0,31.28,0,,3.75,11.96,1.38,35.88,11.84,750.38,0,31.55,0,,5.52,14.44,1.05,68.88,18.88,0,0,28.14,0,,5.54,11.42,1.45,0,0,1000.71,0,0,0,,11.92,22.69,2.57,74.92,20.95,746.86,11.47,28.5
200708,2020,7,8,8/7/2020,RAINY,3,1,1,9.54,18.56,0.74,72.83,22.83,751.81,3.8,30.6,0,0,7,26.29,0.97,77,23.52,754.75,4,30.12,0,,7.17,21.25,2.02,75.17,22.53,754.04,0,29.77,0,,8.42,21.38,0.47,72.17,19.67,0,0.4,28.03,0,,16.46,31.46,0.85,0,0,1005.67,9.2,0,0,,11.28,19.13,1.81,74.81,22.72,754.25,3.47,30.01
200805,2020,8,5,5/8/2020,RAINY,3,1,1,9.62,20.07,0.78,75.68,27.59,750.23,0.65,33.42,0,0,8.3,16.39,0.69,76.71,21.8,754.79,2.6,28.79,0,,4.42,13.21,1.68,80.67,22.2,752.58,4.4,28.21,0,,7.76,19,0.69,75.4,18.9,0,1.6,26.51,0,,8.54,14.71,0.65,0,0,1003.63,1.6,0,0,,12.69,22.85,1.5,77.18,22.03,752.53,0.33,28.87
201004,2020,10,4,4/10/2020,RAINY,3,1,1,9.71,19.22,0.46,80.19,22.23,752.25,15.75,28.34,0,0,7.88,14.88,0.51,80.75,23.37,754.88,6308,29.13,0,,8.17,18.79,0.93,80.58,22.83,754.46,0.4,28.73,0,,8.1,17.5,0.38,78.5,21.72,0,8.6,28.3,0,,13.75,26.42,0.66,0,0,1006.08,16.4,0,1,1,10.33,17.72,1.3,83.43,22.79,754.44,34,28.07
200609,2020,6,9,9/6/2020,RAINY,3,1,1,9.96,18.16,0.84,75.14,22.2,751.1,0.75,29.5,0,0,5.17,20.88,1.07,75.41,24.84,754.83,0.2,31.51,0,,6.38,17.54,2.54,83.17,22.64,753.42,0.6,28.01,0,,7.79,20.81,0.55,72,19,0,0,27.45,0,,11.17,21.63,0.94,89.04,25.23,1004.58,0.2,28.73,0,,11.99,22.21,2.22,77.69,22.62,753.44,1,29.23
200827,2020,8,27,27/08/2020,RAINY,3,1,1,10.33,23.79,2.03,53.94,18,750.4,0.5,31.76,0,0,10.75,24.79,1.64,56.04,18.03,754.67,0,31.08,0,,7,19.29,2.71,58.67,18.47,752.96,0,30.67,0,,11.85,24.1,0.87,56.71,18.42,0,0,31.25,0,,13.17,22.46,1.48,0,0,1003.88,0,0,0,,13.51,28.18,2.69,61.63,19.55,752.88,0,30.82
200726,2020,7,26,26/07/2020,RAINY,3,1,1,10.61,20.72,0.63,75,22.43,751.31,4.65,29.73,0,0,7,18.54,1.1,72.79,24.4,754.54,0,31.85,0,,7.96,17.17,1.13,45,14,751.75,0,30.45,0,,10.29,19.15,0.42,69.47,18.67,0,2,27.78,0,,15.92,24.25,0.77,0,0,1004.96,18.6,0,4,4,11.78,19.9,1.47,71.71,21.57,750.24,9.73,29.83
